,JX118175,JX118176,JX118171,JX118172,JX118173,JX118174,JX118179,JX118178,JX118181,JX118177,JX118180
JX118175,,0.001382000,0.000706000,0.000748000,0.000677000,0.000925000,0.001134000,0.001265000,0.001000000,0.001242000,0.001156000
JX118176,0.001382000,,0.001344000,0.001386000,0.001315000,0.001563000,0.001772000,0.001903000,0.001638000,0.001880000,0.001794000
JX118171,0.000706000,0.001344000,,0.000334000,0.000407000,0.000655000,0.000864000,0.000995000,0.000730000,0.000972000,0.000886000
JX118172,0.000748000,0.001386000,0.000334000,,0.000449000,0.000697000,0.000906000,0.001037000,0.000772000,0.001014000,0.000928000
JX118173,0.000677000,0.001315000,0.000407000,0.000449000,,0.000334000,0.000697000,0.000828000,0.000563000,0.000805000,0.000719000
JX118174,0.000925000,0.001563000,0.000655000,0.000697000,0.000334000,,0.000945000,0.001076000,0.000811000,0.001053000,0.000967000
JX118179,0.001134000,0.001772000,0.000864000,0.000906000,0.000697000,0.000945000,,0.000581000,0.000316000,0.000504000,0.000418000
JX118178,0.001265000,0.001903000,0.000995000,0.001037000,0.000828000,0.001076000,0.000581000,,0.000291000,0.000689000,0.000603000
JX118181,0.001000000,0.001638000,0.000730000,0.000772000,0.000563000,0.000811000,0.000316000,0.000291000,,0.000424000,0.000338000
JX118177,0.001242000,0.001880000,0.000972000,0.001014000,0.000805000,0.001053000,0.000504000,0.000689000,0.000424000,,0.000502000
JX118180,0.001156000,0.001794000,0.000886000,0.000928000,0.000719000,0.000967000,0.000418000,0.000603000,0.000338000,0.000502000,
